id,sector,name,pitch,target_market,model_slug,budget_band,location,team,time_mode,source,ref
3058,ODOP (One District One Product),Brass Metal Work,Brass Metal Work is the ODOP of Patna. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,3,,,,odop,odop:bras-metal-work
3059,ODOP (One District One Product),Buck Wheat Brand,"Buck Wheat is the ODOP of North Sikkim (Mangan). Buy direct from growers there and sell a processed, branded product.",,healthy-snacks-brand,3,,,,odop,odop:buck-wheat
3060,ODOP (One District One Product),Byadagi Chilies Brand,"Byadagi Chilies is the ODOP of Gadag. Buy direct from growers there and sell a processed, branded product.",,spice-processing-unit,2,,,,odop,odop:byadagi-chilli
3061,ODOP (One District One Product),Cane & Bamboo Handicrafts,Cane & Bamboo Handicrafts (Mats) is the ODOP of West Khasi Hills. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,2,,,,odop,odop:cane-bamboo-handicraft-mat
3062,ODOP (One District One Product),Cane Sugar Brand,"Cane Sugar is the ODOP of Ahmednagar. Buy direct from growers there and sell a processed, branded product.",,honey-and-organic-produce,4,,,,odop,odop:cane-sugar
3063,ODOP (One District One Product),Hand-Woven Carpets,"Carpet is the ODOP of Kaimur (Bhabua), Garhwa, Mirzapur and 1 more. Work with its makers and sell their work to city and export buyers.",,handloom-textiles-brand,3,,,,odop,odop:carpet
3064,ODOP (One District One Product),Carpets,Carpets (Dari) is the ODOP of Sitapur. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,2,,,,odop,odop:carpet-dari
3065,ODOP (One District One Product),Cashew Processing Unit,"Cashew is the ODOP of West Garo Hills, Koraput, Kanyakumari. Buy direct from growers there and sell a processed, branded product.",,agro-processing-unit,3,,,,odop,odop:cashew
3066,ODOP (One District One Product),Ceramic Products,Ceramic Product is the ODOP of Bulandshahar. Work with its makers and sell their work to city and export buyers.,,pottery-studio,2,,,,odop,odop:ceramic-product
3067,ODOP (One District One Product),Chamba Rumal,Chamba Rumal is the ODOP of Chamba. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,2,,,,odop,odop:chamba-rumal
3068,ODOP (One District One Product),Chanderi Handloom,Chanderi Handloom is the ODOP of Ashoknagar. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,3,,,,odop,odop:chanderi-handloom
3069,ODOP (One District One Product),Chilli Brand,"Chilly is the ODOP of Guntur, Tawang, Dhubri and 7 more. Buy direct from growers there and sell a processed, branded product.",,spice-processing-unit,3,,,,odop,odop:chilli
3070,ODOP (One District One Product),Mizo Chilli Brand,"Chilli - Mizo is the ODOP of Siaha. Buy direct from growers there and sell a processed, branded product.",,spice-processing-unit,3,,,,odop,odop:chilli-mizo
3071,ODOP (One District One Product),Chilli Powder Brand,"Chilli powder is the ODOP of Nandurbar. Buy direct from growers there and sell a processed, branded product.",,spice-processing-unit,3,,,,odop,odop:chilli-powder
3072,ODOP (One District One Product),Chinnaur Rice Processing Unit,"Chinnaur Rice is the ODOP of Balaghat. Buy direct from growers there and sell a processed, branded product.",,agro-processing-unit,3,,,,odop,odop:chinnaur-rice
3073,ODOP (One District One Product),Cilantro Brand,"Cilantro is the ODOP of Seoni. Buy direct from growers there and sell a processed, branded product.",,spice-processing-unit,2,,,,odop,odop:cilantro
3074,ODOP (One District One Product),Citrus Fruits Processing,"Citrus Fruits (Kinnow) is the ODOP of Bathinda, Fazilka. Buy direct from growers there and sell a processed, branded product.",,fruit-and-vegetable-processing,3,,,,odop,odop:citru-fruit-kinnow
3075,ODOP (One District One Product),Coconut Processing Unit,"Coconut is the ODOP of Thanjavur. Buy direct from growers there and sell a processed, branded product.",,agro-processing-unit,3,,,,odop,odop:coconut
3076,ODOP (One District One Product),Coffee Brand,"Coffee is the ODOP of Kodagu, Wayanad, Mokokchung. Buy direct from growers there and sell a processed, branded product.",,beverage-brand,3,,,,odop,odop:coffee
3077,ODOP (One District One Product),Coffee-Arabica Brand,"Coffee-Arabica is the ODOP of Chikkamagaluru (Chikmagalur). Buy direct from growers there and sell a processed, branded product.",,beverage-brand,3,,,,odop,odop:coffee-arabica
3078,ODOP (One District One Product),Coir Pith Block,"Coir pith block is the ODOP of Dindigul, Tenkasi. Work with its makers and sell their work to city and export buyers.",,eco-friendly-products-brand,3,,,,odop,odop:coir-pith-block
3079,ODOP (One District One Product),Coir Products,"Coir products is the ODOP of Hassan, Alappuzha, Mahe and 1 more. Work with its makers and sell their work to city and export buyers.",,eco-friendly-products-brand,3,,,,odop,odop:coir-product
3080,ODOP (One District One Product),Copper Based Products,Copper based Products is the ODOP of Bageshwar. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,3,,,,odop,odop:copper-based-product
3081,ODOP (One District One Product),Coriander Brand,"Coriander is the ODOP of Guna, Neemuch. Buy direct from growers there and sell a processed, branded product.",,spice-processing-unit,3,,,,odop,odop:coriander
3082,ODOP (One District One Product),Corn Products Processing Unit,"Corn Products is the ODOP of Dahod. Buy direct from growers there and sell a processed, branded product.",,agro-processing-unit,3,,,,odop,odop:corn-product
3083,ODOP (One District One Product),Cotton Ginning Unit,"Cotton is the ODOP of Bolangir, Nuapada, Rayagada and 1 more. Buy direct from growers there and sell a processed, branded product.",,agro-processing-unit,3,,,,odop,odop:cotton
